book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
כראמל,מאירה ברנע גולדברג, תומר שרון,0,0,2021.0,0,4.73,0,2021-05-17,742,26.0,5.0
הארנב שרצה להיות עץ,דוידי רוזנפלד, דוידי רוזנפלד,0,0,2021.0,0,5.0,0,2021-05-18,741,12.0,0.0
מי יציל את בוטן,יונה טפר, יובל רז,0,0,2021.0,0,5.0,0,2021-06-04,724,58.0,1.0
אל תדאגי רותי,דויד גרוסמן, דליה שימקו,0,0,2021.0,0,5.0,0,2021-05-28,731,8.0,0.0
באושר ועושר כאילו (9) לפעמים משאלות מתגשמות,שרה מלינובסקי, אלינור אהרון בן-אבי,0,0,2021.0,0,4.75,0,2021-06-19,709,17.0,3.0
אוצר סיפורים לפני השינה,רוזי דיקינס, נועה זוהר,0,0,2021.0,0,4.83,0,2021-06-20,708,28.0,1.0
Minecraft Woodsword Chronicles Volume 1,Nick Eliopulos, Keylor Leigh,0,4,2021.0,0,4.25,1,2021-09-30,606,13.0,5.0
יש לי נמר בחדר,שירה גודמן, אילת פוזניאק,0,0,2021.0,0,4.43,0,2021-06-19,709,6.0,0.0
"פו, הדוב הכי הטוב בעולם",סופרים שונים, מולי שולמן,0,0,2021.0,0,3.75,0,2021-06-20,708,29.0,1.0
סיפור שקרה לי בדרך,דבורה עומר וורד רביב-שורץ, נועה זוהר,0,0,2021.0,0,0.0,0,2021-06-20,708,39.0,0.0
לאן נעלם קפיטן קוק,דבורה עומר, גליה ירון,0,0,2021.0,0,5.0,0,2021-06-19,709,34.0,2.0
עוד סיפורים עם כנפיים,אשכר ארבליך בריפמן, מאיה לוי,0,0,2021.0,0,5.0,0,2021-06-19,709,36.0,3.0
אם אמא שלי לא יכולה לאהב אותי - מי כבר בעולם כולו יצליח בזה,נורית זרחי, נועה זוהר,0,0,2021.0,0,2.8,0,2021-06-21,707,8.0,0.0
האוצר של יסמין,יונה טפר, רותם שפי,0,0,2021.0,0,4.0,0,2021-06-25,703,6.0,0.0
בארי לוזר (1) - אני לא לוזר,ג׳ים סמית, ג׳וני רוזנבלום,0,0,2021.0,0,4.2,0,2021-06-28,700,8.0,1.0
אמא שלי חושבת שאני אוכל,מיה סביר, נוגה אלגום,0,0,2021.0,0,4.75,0,2021-06-28,700,5.0,0.0
Diary of a Wimpy Kid: The Meltdown,Jeff Kinney, Ramon de Ocampo,0,5,2018.0,0,5.0,1,2018-10-30,1672,1.0,2.0
אתי ספגטי,רות אורן, שושיק שני,0,0,2021.0,0,5.0,0,2021-07-05,693,3.0,0.0
רותם והפיל,ליבי דאון, ליבי דאון,0,0,2021.0,0,5.0,0,2021-07-12,686,6.0,0.0
פריקי,נורית זרחי, מאיה לוי,0,0,2021.0,0,4.75,0,2021-07-19,679,9.0,0.0
חתלתול ושמו למה,עינת הולנדר, עינת הולנדר,0,0,2021.0,0,4.4,0,2021-09-25,611,4.0,0.0
הכוכבים הם הילדים של הירח,יהונתן גפן, יעל גובר,0,0,2021.0,0,5.0,0,2021-07-19,679,29.0,0.0
הגול הראשון שלי,ליעד שהם," גילי ורמוט, שרן ייני",0,0,2021.0,0,5.0,0,2021-07-18,680,9.0,0.0
Woodsword Chronicles,Nick Eliopulos, Keylor Leigh,0,4,2021.0,0,4.75,1,2021-09-30,606,36.0,5.0
